"autor"	"chunkid"	"und"	"der"	"die"	"in"	"das"	"ich"	"sie"	"den"	"zu"	"nicht"	"er"	"es"	"sich"	"von"	"dem"	"mit"	"auf"	"ein"	"so"	"aber"	"war"	"ist"	"auch"	"wie"	"als"	"an"	"was"	"daß"	"noch"	"eine"	"wenn"	"hatte"	"du"	"des"	"aus"	"mir"	"im"	"wir"	"doch"	"nach"	"da"	"nur"	"um"	"ihr"	"hat"	"einen"	"für"	"man"	"wieder"	"ihm"	"sein"	"haben"	"mich"	"ja"	"über"	"vor"	"einem"	"oder"	"nun"	"denn"	"immer"	"ihn"	"dann"	"alles"	"bei"	"habe"	"sagte"	"frau"	"am"	"hier"	"mehr"	"schon"	"uns"	"seine"	"einer"	"jetzt"	"ganz"	"herr"	"s"	"nichts"	"sind"	"durch"	"seiner"	"sehr"	"wohl"	"unter"	"kann"	"dieser"	"bis"	"meine"	"wird"	"sei"	"seinen"	"mein"	"zum"	"seinem"	"werden"	"recht"	"wo"	"waren"	"alten"	"ihre"	"dir"	"diese"	"alte"	"gut"	"alle"	"sagen"	"will"	"ihnen"	"sah"	"dich"	"zeit"	"hin"	"etwas"	"hand"	"bin"	"diesem"	"weil"	"vom"	"welt"	"ihrer"	"kam"	"her"	"leben"	"wurde"	"weiß"	"mutter"	"gewesen"	"hätte"	"muß"	"konnte"	"ob"	"viel"	"ihren"	"können"	"lassen"	"gar"	"ohne"	"gegen"	"erst"	"ging"	"während"	"einmal"	"selbst"	"soll"	"ihrem"	"stand"	"eben"	"bloß"	"vielleicht"	"machen"	"mann"	"zur"	"wollen"	"heute"	"keine"	"eigentlich"	"wäre"	"kind"	"hatten"	"kein"	"wer"	"liebe"	"herrn"	"dazu"	"hause"	"weiter"	"mal"	"welche"	"gleich"	"lieber"	"nahm"	"andern"	"sehen"	"gott"	"wollte"	"freilich"	"zwischen"	"wissen"	"nein"	"tage"	"tag"	"dabei"	"beiden"	"davon"	"lange"	"selber"	"hast"	"zwei"	"also"	"wort"	"o"	"weg"	"würde"	"fort"	"junge"	"diesen"	"sondern"	"guten"
"Fontane"	790	52	34	18	15	7	2	2	8	10	14	22	8	14	5	11	7	11	6	6	12	10	7	7	3	11	2	4	2	6	2	1	4	0	1	2	5	4	2	4	3	2	3	4	0	0	6	0	1	6	6	4	3	2	3	1	4	0	4	4	1	4	3	3	2	2	1	4	0	3	1	1	6	0	3	1	0	0	3	0	3	0	0	2	1	5	0	1	1	0	0	4	1	2	2	2	0	1	1	3	1	0	0	1	4	0	1	0	1	0	0	2	1	1	2	0	1	0	1	0	5	0	0	1	5	0	0	0	0	0	0	1	1	2	0	0	0	1	1	1	0	2	4	3	0	1	0	0	0	2	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	5	3	2	0	1	2	1	0	0	0	2	0	1	1	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
"Fontane"	791	41	35	20	7	8	3	2	13	7	15	14	13	13	11	10	9	4	11	10	12	13	3	10	5	3	7	5	4	5	5	5	6	2	4	3	0	2	11	4	8	5	6	2	1	0	3	2	9	0	3	3	3	0	6	1	1	2	6	2	2	3	2	4	3	2	0	6	1	2	3	2	3	0	1	4	2	5	0	3	3	2	0	3	0	2	0	3	2	2	1	1	3	0	0	1	0	2	1	2	0	0	0	0	0	1	0	1	0	0	0	4	0	0	1	1	0	1	0	0	3	0	0	2	2	0	2	2	0	1	0	2	0	1	2	0	0	0	0	0	1	0	0	3	0	2	0	0	3	1	2	0	1	0	2	1	0	1	2	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	2	2	0	0	1	3	0	0	2	0	1	0	1	0	2	0	1	0	0	0	0
"Fontane"	792	38	17	19	15	12	8	13	10	16	4	14	7	9	8	12	6	6	4	6	9	6	5	10	6	5	10	5	12	6	3	1	2	5	2	4	7	0	2	4	9	2	4	6	2	5	2	3	2	1	4	5	3	1	1	3	5	3	3	1	3	1	0	1	4	2	1	2	6	5	1	2	2	0	1	2	2	1	0	1	0	4	0	0	1	1	2	0	1	4	1	1	0	4	1	1	2	2	0	3	1	1	1	2	0	0	1	0	0	1	2	0	2	3	2	0	1	0	0	1	2	2	1	4	1	1	2	0	0	3	0	0	0	1	0	2	1	2	1	1	3	2	1	1	0	1	2	1	1	0	0	0	3	0	2	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	2	2	1	0	1	1	2	3	1	0	3	1	2	2	0	0	0	0	0	2	1	0	0	0	0	1	0	2	0
"Fontane"	793	42	16	16	5	19	8	14	9	9	12	16	11	10	3	6	7	3	2	12	10	13	9	7	9	7	6	10	10	8	7	2	3	15	2	5	1	1	0	4	4	2	3	6	2	1	2	3	5	1	4	4	1	1	3	2	9	1	7	5	6	3	5	1	3	0	7	5	1	1	0	3	2	2	2	3	2	1	2	2	8	0	1	0	0	0	0	2	3	0	0	0	4	0	0	1	0	2	0	1	1	0	1	1	2	0	2	2	1	1	0	1	1	0	0	0	0	0	0	1	0	1	0	2	1	0	0	0	0	3	2	2	1	3	1	0	0	0	4	0	2	0	1	2	0	0	0	1	1	1	1	0	1	0	0	0	1	2	3	1	0	0	1	0	0	0	0	0	5	0	0	0	0	2	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	4	0	0	0	0	0	2	1	2	0	0	0
"Fontane"	794	35	24	24	8	11	2	16	9	7	11	5	11	13	11	3	15	4	4	10	9	10	1	9	2	9	4	3	2	8	4	11	7	2	2	1	0	4	0	2	3	0	2	4	1	0	8	5	7	2	3	0	0	0	1	2	3	3	0	4	5	4	0	5	3	6	3	1	2	2	0	4	2	0	3	5	2	1	2	3	2	0	3	0	1	1	0	2	2	1	0	0	3	1	1	5	0	2	1	1	1	3	1	0	4	2	3	1	1	0	1	0	0	0	5	0	0	0	2	2	0	0	3	1	0	0	1	0	1	6	3	3	0	0	5	1	0	1	2	1	3	0	3	0	1	1	0	4	1	0	1	0	2	0	0	0	1	1	1	2	0	2	2	1	0	0	2	1	1	0	2	0	4	0	1	0	2	3	2	0	1	1	3	2	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0
"Fontane"	795	37	21	14	9	15	6	14	8	1	6	12	6	8	5	5	12	6	6	19	5	5	2	6	4	3	5	9	1	4	1	5	8	0	1	6	2	2	1	2	1	4	3	3	4	2	4	0	4	3	0	1	0	0	7	3	1	2	4	1	3	3	1	3	0	5	3	8	1	1	4	2	6	1	1	1	2	1	2	7	1	0	1	0	1	1	2	0	1	2	0	3	2	2	0	1	2	0	1	0	0	3	2	0	1	1	0	0	2	2	0	1	0	1	2	0	2	0	2	2	0	0	3	0	2	0	1	1	6	2	0	2	2	1	0	1	1	1	0	0	1	0	0	2	0	0	0	0	1	0	2	1	2	1	1	1	0	0	2	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	2	0	1	1	0	0	1	0	3	2	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	3
"Fontane"	796	44	34	21	15	13	0	4	18	15	7	11	5	15	9	10	20	7	4	6	9	9	0	6	6	5	6	4	1	3	1	2	8	0	4	6	0	3	3	2	4	4	7	5	0	1	2	0	10	3	3	3	4	0	1	3	6	3	3	1	2	1	2	4	3	2	0	3	1	1	3	0	5	0	3	1	0	0	2	0	1	0	0	2	0	2	1	0	4	3	0	2	2	5	0	0	3	1	0	4	1	2	0	0	0	3	0	0	0	0	0	4	0	0	4	1	2	0	1	0	2	0	1	4	3	0	1	0	1	1	2	0	1	1	0	1	1	0	0	1	1	0	2	2	0	3	0	0	1	1	2	0	3	0	3	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	2	0	4	0	0	1	1	0	0	2	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	1	0	0	2	0
"Fontane"	797	44	19	28	11	9	7	7	9	19	13	26	6	7	4	8	2	4	8	15	8	7	4	11	8	7	10	7	9	7	5	2	6	0	1	2	0	5	1	1	3	4	4	4	1	2	2	2	2	2	2	3	4	0	5	1	1	1	1	2	3	0	4	3	1	0	5	6	1	1	3	2	2	1	3	1	2	1	3	2	1	0	1	6	0	1	2	2	6	1	2	5	7	0	0	1	2	3	2	0	4	2	3	0	4	0	2	2	1	1	0	1	0	1	0	1	0	0	2	2	1	1	1	0	0	0	0	0	2	4	0	1	0	1	1	0	1	0	0	4	0	1	2	2	1	0	1	0	0	1	0	0	0	0	0	1	0	4	1	0	0	2	0	1	0	0	2	0	1	0	1	2	1	2	0	0	0	0	2	0	0	0	2	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0
"Fontane"	798	34	38	27	11	11	1	14	11	11	11	4	4	10	5	6	7	7	3	8	8	18	0	3	12	9	7	4	5	8	5	4	11	1	4	2	1	3	1	7	5	2	5	1	3	1	2	1	3	2	3	1	0	0	3	3	4	1	7	4	2	1	2	5	3	2	1	1	2	0	0	3	1	0	1	3	1	2	3	1	1	0	1	1	0	1	5	0	2	1	1	0	2	1	0	1	4	2	2	0	2	0	1	0	1	3	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	3	2	0	1	0	3	0	2	0	2	0	3	1	1	1	0	2	2	2	1	1	0	4	0	1	2	0	0	0	0	0	2	0	2	1	1	0	0	2	0	1	0	0	1	2	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2
"Fontane"	799	49	24	17	10	22	5	5	6	16	20	15	5	8	1	8	12	6	18	10	7	9	7	8	4	9	2	10	7	6	6	7	14	0	0	4	0	1	4	1	8	3	4	2	0	3	4	3	2	4	6	2	0	0	1	0	2	2	7	2	1	4	2	1	4	2	6	1	1	2	1	2	4	0	1	3	1	1	1	3	1	0	2	2	2	1	4	1	2	2	1	3	7	0	0	4	1	0	0	0	2	2	0	0	2	1	0	2	2	1	0	0	0	0	2	2	0	0	0	0	0	2	1	3	1	0	1	0	0	4	1	0	0	2	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	2	1	0	4	1	0	0	0	2	0	1	0	0	0	0	0	0	2	0	0	3	1	0	0	0	0	1	0	0	2	0	0	2	2	0	1	2	2	1	0	0	0	0	0	0	1	1
